index,top1,top3,top5,top7,top10,top15,top20,top30,top40,top50
104,0.2191,0.2077,0.2077,0.2077,0.1951,0.1951,0.1929,0.1929,0.1929,0.1929
105,0.354,0.3194,0.2211,0.2211,0.2164,0.2164,0.2164,0.1997,0.1354,0.1354
106,0.02219,0.02034,0.02034,0.02034,0.01991,0.0191,0.01866,0.01781,0.01748,0.01748
107,0.1618,0.1533,0.1533,0.1505,0.1505,0.1505,0.1505,0.1505,0.1505,0.1505
108,0.1636,0.1452,0.1424,0.1424,0.13,0.1291,0.1202,0.1202,0.1177,0.1177
109,0.1806,0.1707,0.1707,0.1707,0.1557,0.1557,0.1475,0.1475,0.1475,0.1475
110,0.07011,0.06411,0.06402,0.06196,0.06196,0.06196,0.06196,0.06196,0.06196,0.06196
111,1.0,0.116,0.116,0.116,0.116,0.116,0.116,0.116,0.116,0.116
113,0.07702,0.07551,0.07507,0.07507,0.07507,0.07507,0.07507,0.07507,0.07507,0.07507
114,0.09127,0.0893,0.08601,0.08377,0.0828,0.0805,0.0805,0.07734,0.07495,0.07202
115,0.1393,0.1393,0.1361,0.1361,0.1349,0.1255,0.1255,0.1227,0.1205,0.1165
116,0.1325,0.1325,0.1153,0.1153,0.1153,0.1153,0.1153,0.1153,0.1144,0.1144
117,0.0843,0.0843,0.0843,0.0843,0.07984,0.07984,0.07984,0.07984,0.07984,0.07984
