index,top1,top3,top5,top7,top10,top15,top20,top30,top40,top50
134,0.05735,0.05684,0.05328,0.05209,0.05117,0.05107,0.05107,0.05107,0.05107,0.05107
136,0.08309,0.0755,0.07468,0.07468,0.07468,0.07468,0.07298,0.07289,0.07166,0.07166
137,0.1249,0.1226,0.1226,0.1226,0.1224,0.1198,0.1198,0.1198,0.1198,0.1198
138,0.02885,0.02851,0.02812,0.02753,0.02753,0.02753,0.02753,0.02722,0.02722,0.02648
140,0.02099,0.02067,0.02067,0.02067,0.02067,0.02067,0.02048,0.02048,0.02048,0.02048
141,0.2659,0.2659,0.2484,0.2484,0.2484,0.2475,0.234,0.234,0.234,0.234
142,0.01581,0.01579,0.01494,0.01494,0.01458,0.01458,0.01458,0.01458,0.01458,0.01458
143,0.03369,0.03287,0.03265,0.03265,0.03211,0.03201,0.03112,0.03059,0.02802,0.02797
144,0.04737,0.04582,0.04526,0.04526,0.04526,0.04526,0.04526,0.04526,0.04526,0.04526
152,0.01352,0.01333,0.01311,0.01291,0.01291,0.01275,0.01275,0.01275,0.01275,0.01275
153,0.02095,0.01982,0.01982,0.01882,0.01882,0.01882,0.0186,0.0186,0.0186,0.0186
155,0.03385,0.0335,0.03313,0.03103,0.03103,0.03103,0.03103,0.03037,0.03037,0.03037
157,0.04731,0.04731,0.04731,0.04731,0.04731,0.04731,0.04731,0.04731,0.04617,0.04617
158,0.006288,0.005973,0.005973,0.005973,0.005973,0.005973,0.005973,0.005973,0.005973,0.005973
159,0.05241,0.04956,0.04956,0.04956,0.04927,0.04927,0.04869,0.04869,0.04788,0.04788
160,0.00707,0.006311,0.006221,0.006217,0.005818,0.005818,0.005672,0.005672,0.005672,0.00556
161,0.01959,0.01885,0.01831,0.01831,0.01777,0.01777,0.01777,0.01777,0.01777,0.01777
163,0.03637,0.03637,0.03637,0.03637,0.03637,0.03637,0.03637,0.03637,0.03637,0.03637
166,0.1274,0.048,0.04726,0.04726,0.04683,0.04683,0.04683,0.04683,0.04683,0.04652
170,0.05537,0.05361,0.05361,0.05361,0.05278,0.05278,0.05278,0.05278,0.05278,0.05278
172,0.04047,0.03978,0.03978,0.03978,0.03978,0.03978,0.03978,0.03978,0.03978,0.03978
174,0.0452,0.04391,0.04391,0.04391,0.04391,0.04391,0.04373,0.04373,0.04316,0.04316
175,0.05493,0.0546,0.05122,0.05035,0.0483,0.0483,0.04696,0.04493,0.04365,0.04359
176,0.02833,0.02746,0.02746,0.02746,0.02703,0.02703,0.02703,0.02703,0.02657,0.02657
177,0.007041,0.007041,0.007041,0.006988,0.006988,0.006988,0.006988,0.006988,0.006988,0.006988
