
index,top1,top3,top5,top7,top10,top15,top20,top30,top40,top50
64,0.1417,0.134,0.134,0.1331,0.1225,0.1134,0.1134,0.1053,0.09556,0.08819
65,0.04415,0.04407,0.04372,0.04372,0.04372,0.04372,0.04372,0.04372,0.04372,0.04372
66,0.2419,0.2245,0.2245,0.2179,0.208,0.1979,0.1955,0.1955,0.1955,0.1955
67,0.3569,0.3353,0.3353,0.315,0.315,0.2927,0.2873,0.2826,0.2826,0.2502
68,0.5157,0.4649,0.4649,0.3728,0.3533,0.3533,0.3533,0.326,0.3172,0.3068
69,0.4121,0.4121,0.4121,0.4092,0.4061,0.4061,0.4061,0.3537,0.3537,0.3537
70,0.3192,0.3178,0.3146,0.3146,0.3135,0.3087,0.3087,0.3087,0.3087,0.3087
71,0.5942,0.5486,0.5486,0.5486,0.5486,0.5486,0.5486,0.5103,0.5088,0.5088
72,0.3594,0.3562,0.3269,0.3235,0.3109,0.3063,0.3063,0.3063,0.257,0.2048
73,0.1178,0.1137,0.1137,0.1137,0.1137,0.1109,0.1109,0.1087,0.1084,0.1084
74,0.1954,0.1944,0.1944,0.186,0.1838,0.1838,0.1838,0.1838,0.1838,0.1838
75,0.1709,0.166,0.166,0.166,0.1658,0.1586,0.1586,0.1586,0.1586,0.1586
76,0.3996,0.3923,0.3551,0.3551,0.2457,0.2457,0.2457,0.2412,0.2052,0.2052
77,0.06566,0.06483,0.06483,0.06483,0.06483,0.06483,0.06243,0.06243,0.06216,0.06215
78,0.1842,0.1842,0.1842,0.1653,0.1653,0.1653,0.1653,0.1603,0.1534,0.1534
79,0.3544,0.3019,0.3019,0.2696,0.2696,0.2696,0.2696,0.2574,0.2462,0.2462
81,0.344,0.3088,0.3072,0.3072,0.2795,0.2795,0.2676,0.2676,0.2676,0.2676
82,0.6196,0.4703,0.4703,0.4703,0.4703,0.4703,0.4703,0.4703,0.4703,0.4703
83,0.06023,0.0586,0.0586,0.0586,0.05798,0.05798,0.05793,0.05793,0.05735,0.05735
84,0.2541,0.2451,0.2406,0.2371,0.2371,0.2371,0.2371,0.2371,0.2371,0.2371
85,0.2961,0.2899,0.2899,0.2803,0.2783,0.2783,0.2783,0.2783,0.2783,0.2774
86,0.2612,0.2494,0.2494,0.2494,0.2494,0.2377,0.2377,0.2377,0.2274,0.2274
87,0.3281,0.3252,0.3252,0.3252,0.3252,0.3252,0.318,0.318,0.3158,0.3062
88,0.4631,0.4538,0.4404,0.4404,0.4404,0.4404,0.4388,0.4179,0.4179,0.4179
89,0.2052,0.2052,0.1923,0.1923,0.1923,0.1923,0.1923,0.1923,0.1923,0.1923
90,0.4107,0.4107,0.4107,0.4107,0.4107,0.3783,0.3331,0.3331,0.3143,0.3052
91,0.6288,0.6124,0.5444,0.5438,0.5438,0.5308,0.5211,0.466,0.4527,0.4527
92,0.08296,0.06041,0.05956,0.05956,0.05956,0.05956,0.05956,0.0591,0.05862,0.05862
93,0.4343,0.4343,0.4343,0.4343,0.3872,0.3872,0.3872,0.3393,0.318,0.3016
94,0.2115,0.2115,0.2115,0.2115,0.2115,0.2053,0.2053,0.2053,0.2007,0.2007
95,0.21,0.1909,0.1909,0.1909,0.1909,0.1909,0.1909,0.1909,0.1909,0.1909
96,0.0125,0.0125,0.01227,0.01227,0.01227,0.01218,0.01218,0.01218,0.01218,0.01218
97,0.1215,0.09716,0.09587,0.0883,0.0883,0.07476,0.07006,0.06646,0.06423,0.06423
98,0.3849,0.2824,0.2699,0.2699,0.2488,0.2488,0.1728,0.1563,0.1563,0.1552
99,0.4712,0.3706,0.3706,0.3706,0.3706,0.3706,0.3706,0.3706,0.3706,0.3706
100,0.3169,0.2941,0.2941,0.2941,0.2941,0.2941,0.2941,0.2941,0.2941,0.2691
101,0.3893,0.3559,0.3559,0.324,0.3124,0.3124,0.3124,0.302,0.302,0.302
102,0.1999,0.1987,0.1987,0.195,0.195,0.195,0.195,0.195,0.195,0.195
